# This file was created by stressberry v0.3.3 on 2022-02-23 18:17:35.025309
ambient: []
cpu frequency:
- 1500.345728
- 1200.287104
- 1000.212864
- 1500.398464
- 1500.398464
- 1200.287104
- 1100.30272
- 1100.249984
- 1100.249984
- 1100.249984
- 1500.398464
- 1200.287104
- 1100.249984
- 1100.30272
- 1100.249984
- 1000.2656
- 1000.212864
- 1200.33984
- 1100.30272
- 1200.287104
- 1100.249984
- 1300.324224
- 1100.249984
- 1000.2656
- 1000.212864
- 1500.398464
- 1400.361344
- 1300.324224
- 1100.249984
- 1100.249984
- 1500.345728
- 1500.398464
- 1500.345728
- 1500.345728
- 1500.345728
- 1500.398464
- 1500.398464
- 1500.398464
- 1500.398464
- 1500.398464
- 1500.398464
- 1500.345728
- 1500.345728
- 1500.398464
- 1500.345728
- 1500.345728
- 1500.345728
- 1500.345728
- 1500.345728
- 1500.398464
- 1500.398464
- 1500.398464
- 1500.398464
- 1500.345728
- 1500.345728
- 1500.398464
- 1500.398464
- 1500.345728
- 1500.345728
- 1500.345728
- 1500.345728
- 1500.398464
- 1500.345728
- 1500.398464
- 1500.345728
- 1500.398464
- 1500.345728
- 1500.345728
- 1500.345728
- 1500.345728
- 1500.345728
- 1500.345728
- 1500.345728
- 1500.345728
- 1500.345728
- 1500.345728
- 1500.345728
- 1500.398464
- 1500.345728
- 1500.345728
- 1500.398464
- 1500.345728
- 1500.398464
- 1500.345728
- 1500.345728
- 1500.398464
- 1500.398464
- 1500.345728
- 1500.345728
- 1100.30272
- 1200.287104
- 1100.30272
- 1200.287104
- 1500.345728
- 1100.30272
- 1100.249984
- 1500.398464
- 1500.345728
- 1500.345728
- 1100.249984
- 1200.287104
- 1100.249984
- 1500.345728
- 1500.345728
- 1400.308608
- 1300.324224
- 1200.287104
- 1000.2656
- 1500.398464
- 1200.287104
- 1100.30272
- 1200.287104
- 1100.30272
- 1100.249984
- 1300.324224
- 1100.249984
- 1100.249984
- 1100.249984
name: case
temperature:
- 42.3
- 43.3
- 42.8
- 42.8
- 42.8
- 43.8
- 42.8
- 42.8
- 43.3
- 43.8
- 43.3
- 43.8
- 42.3
- 43.3
- 43.8
- 41.8
- 42.8
- 43.3
- 42.8
- 43.3
- 43.3
- 41.3
- 43.3
- 42.8
- 42.3
- 43.8
- 42.8
- 42.3
- 42.3
- 41.8
- 44.8
- 43.8
- 45.7
- 45.2
- 47.2
- 48.7
- 48.2
- 49.1
- 48.7
- 49.1
- 50.1
- 50.6
- 49.1
- 49.6
- 49.1
- 50.6
- 48.2
- 48.7
- 47.2
- 48.2
- 49.1
- 49.6
- 50.6
- 51.1
- 49.6
- 50.6
- 51.1
- 50.6
- 50.1
- 51.1
- 52.1
- 51.1
- 51.1
- 51.1
- 52.1
- 52.1
- 52.1
- 50.6
- 50.1
- 51.1
- 49.6
- 49.6
- 50.1
- 48.7
- 48.7
- 48.7
- 49.6
- 48.7
- 49.1
- 49.1
- 49.6
- 49.1
- 48.2
- 49.1
- 47.7
- 49.1
- 48.7
- 49.1
- 49.6
- 47.7
- 47.2
- 47.2
- 46.7
- 47.2
- 45.7
- 46.2
- 47.2
- 46.7
- 45.7
- 45.7
- 45.7
- 45.7
- 45.7
- 45.7
- 44.8
- 44.8
- 45.2
- 45.2
- 45.7
- 45.2
- 45.2
- 45.2
- 44.3
- 44.3
- 44.3
- 44.8
- 44.3
- 44.8
time:
- 0.0
- 2.0367326736450195
- 4.078932762145996
- 6.124589204788208
- 8.166594743728638
- 10.207223892211914
- 12.249010562896729
- 14.29128909111023
- 16.3364520072937
- 18.37957262992859
- 20.422992706298828
- 22.464134454727173
- 24.50647211074829
- 26.54715394973755
- 28.589733600616455
- 30.629969596862793
- 32.67541027069092
- 34.716854095458984
- 36.7588152885437
- 38.80500650405884
- 40.84331774711609
- 42.88900375366211
- 44.92796802520752
- 46.97096490859985
- 49.01138758659363
- 51.05366635322571
- 53.09571838378906
- 55.136826038360596
- 57.17593574523926
- 59.218677282333374
- 61.262691020965576
- 63.29369354248047
- 65.32476162910461
- 67.38252973556519
- 69.41610598564148
- 71.4942946434021
- 73.5300304889679
- 75.56558585166931
- 77.62190771102905
- 79.67015957832336
- 81.706467628479
- 83.78776335716248
- 85.81936049461365
- 87.84998154640198
- 89.88105297088623
- 91.91596031188965
- 93.95151352882385
- 95.98207068443298
- 98.01263475418091
- 100.043212890625
- 102.0738046169281
- 104.17752981185913
- 106.213050365448
- 108.24927759170532
- 110.30541181564331
- 112.33608412742615
- 114.3712375164032
- 116.40648818016052
- 118.47150039672852
- 120.50252985954285
- 122.53805303573608
- 124.57313299179077
- 126.60736417770386
- 128.63842725753784
- 130.6745307445526
- 132.71010613441467
- 134.74623107910156
- 136.7769796848297
- 138.80773162841797
- 140.8385043144226
- 142.86930465698242
- 144.90563440322876
- 146.9361379146576
- 148.96684956550598
- 150.9975290298462
- 153.02810716629028
- 155.05888509750366
- 157.08956360816956
- 159.1202850341797
- 161.15096426010132
- 163.1816849708557
- 165.21242094039917
- 167.24299788475037
- 169.273601770401
- 171.30423855781555
- 173.33486127853394
- 175.36559319496155
- 177.3960907459259
- 179.42662978172302
- 181.45742654800415
- 183.50199222564697
- 185.54255604743958
- 187.58351969718933
- 189.62653064727783
- 191.66772508621216
- 193.71247148513794
- 195.75490021705627
- 197.795551776886
- 199.8360161781311
- 201.87862825393677
- 203.92505168914795
- 205.96874976158142
- 208.01145315170288
- 210.05203580856323
- 212.0913918018341
- 214.1395308971405
- 216.18060660362244
- 218.2223527431488
- 220.26362252235413
- 222.30510258674622
- 224.34688186645508
- 226.39279651641846
- 228.43282985687256
- 230.4749550819397
- 232.5189688205719
- 234.56007075309753
- 236.60198211669922
- 238.64369797706604
